parameter,estimate,ci,den.df,tstat,pval
(Intercept),-0.691,"(-0.87, -0.511)",59.639,-7.706,0.001
period2MD,-1.553,"(-1.677, -1.43)",228.029,-24.736,0.001
SWP_1,-0.082,"(-0.352, 0.189)",228.794,-0.595,0.552
phasePhase 2,0.833,"(0.46, 1.206)",241.174,4.402,0.001
SWP_1:phasePhase 2,1.151,"(0.824, 1.479)",237.38,6.928,0.001
