parameter,estimate,ci,den.df,tstat,pval
(Intercept),-0.435,"(-0.582, -0.288)",106.316,-5.853,0.001
period2MD,-0.666,"(-0.937, -0.396)",230.214,-4.86,0.001
Dmean,-0.298,"(-0.38, -0.215)",229.061,-7.1,0.001
phasePhase 2,-1.149,"(-1.402, -0.896)",231.865,-8.941,0.001
Dmean:phasePhase 2,-0.01,"(-0.1, 0.079)",235.283,-0.225,0.822
