parameter,estimate,ci,den.df,tstat,pval
Phase 1:et_resids,-0.989,"(-1.175, -0.803)",157.847,-10.522,0.001
Phase 1:VPD,0.45,"(0.371, 0.529)",147.606,11.258,0.001
Phase 2:et_resids,-0.411,"(-0.674, -0.148)",157.665,-3.083,0.002
Phase 2:VPD,0.22,"(0.091, 0.349)",157.523,3.363,0.001
