parameter,estimate,ci,den.df,tstat,pval
Phase 1:gs_resids,-5.308,"(-23.239, 12.624)",118.948,-0.586,0.559
Phase 1:VPD,2.772,"(-24.061, 29.606)",106.538,0.205,0.838
Phase 2:gs_resids,18.257,"(-5.638, 42.152)",118.556,1.513,0.133
Phase 2:VPD,-9.511,"(-20.929, 1.907)",118.139,-1.649,0.102
