parameter,estimate,ci,den.df,tstat,pval
Phase 1:gs,121.73,"(100.857, 142.603)",36.173,11.826,0.001
Phase 1:SWP,-1.467,"(-70.817, 67.884)",45,-0.043,0.966
Phase 2:gs,110.79,"(66.781, 154.798)",49.253,5.058,0.001
Phase 2:SWP,21.225,"(0.961, 41.489)",45,2.11,0.04
