parameter,estimate,ci,den.df,tstat,pval
Phase 1:GPP,4.854,"(2.65, 7.058)",6.776,5.242,0.001
Phase 1:SWP,-4.919,"(-8.35, -1.489)",31.09,-2.924,0.006
Phase 2:GPP,6.141,"(3.283, 8.999)",23,4.445,0.001
Phase 2:SWP,1.477,"(0.39, 2.563)",31.082,2.771,0.009
