parameter,estimate,ci,den.df,tstat,pval
Phase 1:gpp_resids,-0.112,"(-1.247, 1.024)",90.122,-0.195,0.846
Phase 1:PAR,0,"(-0.001, 0.002)",103.903,0.201,0.841
Phase 2:gpp_resids,-2.189,"(-4.761, 0.384)",157.508,-1.68,0.095
Phase 2:PAR,0.003,"(0, 0.006)",157.711,1.703,0.09
