parameter,estimate,ci,den.df,tstat,pval
(Intercept),121.73,"(100.857, 142.603)",36.173,11.826,0.001
phasePhase 2,-10.94,"(-58.848, 36.968)",45,-0.46,0.648
swp_0_10_mean,-1.467,"(-70.817, 67.884)",45,-0.043,0.966
phasePhase 2:swp_0_10_mean,22.692,"(-49.558, 94.942)",45,0.633,0.53
