parameter,estimate,ci,den.df,tstat,pval
Phase 1:gs,122.63,"(104.659, 140.6)",98.144,13.541,0.001
Phase 1:PD,33.321,"(6.518, 60.124)",118.126,2.462,0.015
Phase 2:gs,72.12,"(48.226, 96.015)",118.944,5.977,0.001
Phase 2:PD,5.721,"(-5.698, 17.14)",117.177,0.992,0.323
