parameter,estimate,ci,den.df,tstat,pval
Phase 1:ET,3.412,"(3.171, 3.653)",84.271,28.126,0.001
Phase 1:SWP,2.221,"(1.798, 2.644)",140.217,10.383,0.001
Phase 2:ET,1.521,"(1.084, 1.957)",157.216,6.883,0.001
Phase 2:SWP,0.186,"(-0.079, 0.45)",148.235,1.388,0.167
