parameter,estimate,ci,den.df,tstat,pval
(Intercept),-0.989,"(-1.175, -0.803)",157.847,-10.522,0.001
phasePhase 2,0.578,"(0.255, 0.901)",157.26,3.536,0.001
D_morn_mean,0.45,"(0.371, 0.529)",147.606,11.258,0.001
phasePhase 2:D_morn_mean,-0.23,"(-0.382, -0.078)",156.229,-2.992,0.003
