parameter,estimate,ci,den.df,tstat,pval
(Intercept),3.587,"(2.931, 4.243)",9.195,12.326,0.001
phasePhase 2,-0.767,"(-1.743, 0.208)",31.077,-1.604,0.119
swp_0_10_mean,3.438,"(2.119, 4.758)",31.154,5.315,0.001
phasePhase 2:swp_0_10_mean,-2.747,"(-4.128, -1.366)",31.1,-4.056,0.001
