parameter,estimate,ci,den.df,tstat,pval
(Intercept),119.603,"(107.231, 131.975)",75.286,19.257,0.001
phasePhase 2,-24.658,"(-49.884, 0.567)",113.112,-1.937,0.055
swp_0_10_mean,50.697,"(22.969, 78.424)",113.923,3.622,0.001
phasePhase 2:swp_0_10_mean,-33.314,"(-64.214, -2.413)",117.707,-2.135,0.035
