parameter,estimate,ci,den.df,tstat,pval
(Intercept),-0.112,"(-1.247, 1.024)",90.122,-0.195,0.846
phasePhase 2,-2.077,"(-4.87, 0.716)",154.864,-1.469,0.144
Par,0,"(-0.001, 0.002)",103.903,0.201,0.841
phasePhase 2:Par,0.003,"(-0.001, 0.006)",155.83,1.484,0.14
