parameter,estimate,ci,den.df,tstat,pval
Phase 1:gs,119.603,"(107.231, 131.975)",75.286,19.257,0.001
Phase 1:SWP,50.697,"(22.969, 78.424)",113.923,3.622,0.001
Phase 2:gs,94.945,"(71.987, 117.904)",120,8.188,0.001
Phase 2:SWP,17.383,"(5.345, 29.422)",113.974,2.861,0.005
