parameter,estimate,ci,den.df,tstat,pval
(Intercept),6.666,"(5.776, 7.556)",47.072,15.066,0.001
phasePhase 2,-2.789,"(-4.261, -1.318)",140.382,-3.747,0.001
swp_0_10_mean,1.991,"(0.891, 3.091)",134.779,3.578,0.001
phasePhase 2:swp_0_10_mean,-1.407,"(-2.827, 0.013)",139.187,-1.958,0.052
