parameter,estimate,ci,den.df,tstat,pval
(Intercept),0.031,"(-0.712, 0.774)",157.847,0.083,0.934
phasePhase 2,-0.024,"(-1.317, 1.268)",157.26,-0.037,0.97
D_morn_mean,-0.014,"(-0.331, 0.302)",147.606,-0.089,0.929
phasePhase 2:D_morn_mean,0.011,"(-0.598, 0.619)",156.229,0.034,0.973
