parameter,estimate,ci,den.df,tstat,pval
Phase 1:GPP,6.666,"(5.776, 7.556)",47.072,15.066,0.001
Phase 1:SWP,1.991,"(0.891, 3.091)",134.779,3.578,0.001
Phase 2:GPP,3.876,"(2.363, 5.39)",146.138,5.062,0.001
Phase 2:SWP,0.584,"(-0.256, 1.424)",142.357,1.374,0.172
