parameter,estimate,ci,den.df,tstat,pval
Phase 1:ET,3.587,"(2.931, 4.243)",9.195,12.326,0.001
Phase 1:SWP,3.438,"(2.119, 4.758)",31.154,5.315,0.001
Phase 2:ET,2.82,"(1.82, 3.819)",30.897,5.753,0.001
Phase 2:SWP,0.692,"(0.274, 1.11)",31.141,3.375,0.002
