parameter,estimate,ci,den.df,tstat,pval
(Intercept),4.854,"(2.65, 7.058)",6.776,5.242,0.001
phasePhase 2,1.287,"(-1.249, 3.824)",31.043,1.035,0.309
swp_0_10_mean,-4.919,"(-8.35, -1.489)",31.09,-2.924,0.006
phasePhase 2:swp_0_10_mean,6.396,"(2.805, 9.987)",31.057,3.632,0.001
