parameter,estimate,ci,den.df,tstat,pval
(Intercept),3.334,"(3.101, 3.567)",77.893,28.505,0.001
phasePhase 2,-2.015,"(-2.507, -1.524)",147.339,-8.097,0.001
swp_0_10_mean,1.962,"(1.59, 2.334)",135.739,10.43,0.001
phasePhase 2:swp_0_10_mean,-1.866,"(-2.342, -1.39)",144.988,-7.749,0.001
