parameter,estimate,ci,den.df,tstat,pval
Phase 1:gpp_resids,0.031,"(-0.712, 0.774)",157.847,0.083,0.934
Phase 1:VPD,-0.014,"(-0.331, 0.302)",147.606,-0.089,0.929
Phase 2:gpp_resids,0.007,"(-1.047, 1.061)",157.665,0.013,0.99
Phase 2:VPD,-0.004,"(-0.521, 0.513)",157.523,-0.014,0.989
