parameter,estimate,ci,den.df,tstat,pval
(Intercept),122.63,"(104.659, 140.6)",98.144,13.541,0.001
phasePhase 2,-50.509,"(-80.4, -20.619)",118.868,-3.346,0.001
predawn,33.321,"(6.518, 60.124)",118.126,2.462,0.015
phasePhase 2:predawn,-27.6,"(-57.263, 2.063)",114.87,-1.843,0.068
